"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"amenity","amenity"," "," ","Amenity","Amenity","便利设施",4," "," "," ",""," ",0," "," "," ","amenity",false," ","amenity=*"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/arts_centre","amenity","arts_centre"," ","Arts Center","Arts Center"," ",0," "," ","notTranslated",""," ",0," ","theatre"," ","address,building_area,opening_hours"," "," ","amenity=arts_centre"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/atm","amenity","atm"," ","ATM","ATM","自动柜员机（ATM）。",11," "," "," ","money,cash,machine"," ",0," ","bank"," ","operator"," "," ","amenity=atm"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/bank","amenity","bank"," ","Bank","Bank","银行",2," "," "," ","credit union,check,deposit,fund,investment,repository,reserve,safe,savings,stock,treasury,trust,vault"," ",0," ","bank"," ","atm,operator,address,building_area,opening_hours"," "," ","amenity=bank"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/bar","amenity","bar"," ","Bar","Bar","酒吧",2," "," "," ","dive,beer,bier,booze"," ",0," ","bar"," ","operator,address,building_area,opening_hours,smoking"," "," ","amenity=bar"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/bbq","amenity","bbq"," ","Barbecue/Grill","Barbecue/Grill"," ",0," "," ","notTranslated","bbq"," ",0," "," "," ","covered,fuel"," "," ","amenity=bbq"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point"," "," ","last"
"amenity/bench","amenity","bench"," ","Bench","Bench","长凳",2," "," "," ",""," ",0," "," "," ","backrest"," "," ","amenity=bench"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line","point","vertex"," ","last"
"amenity/bicycle_parking","amenity","bicycle_parking"," ","Bicycle Parking","Bicycle Parking","自行车停放处",6," "," "," ","bike"," ",0," ","bicycle"," ","bicycle_parking,capacity,operator,covered,access_simple"," "," ","amenity=bicycle_parking"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/bicycle_rental","amenity","bicycle_rental"," ","Bicycle Rental","Bicycle Rental","自行车租赁处",6," "," "," ","bike"," ",0," ","bicycle"," ","capacity,network,operator"," "," ","amenity=bicycle_rental"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/bicycle_repair_station","amenity","bicycle_repair_station"," ","Bicycle Repair Station","Bicycle Repair Station"," ",0," "," ","notTranslated","bike"," ",0," ","bicycle"," ","operator,brand,opening_hours,fee,service/bicycle/chaintool,service/bicycle/pump"," "," ","amenity=bicycle_repair_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/boat_rental","amenity","boat_rental"," ","Boat Rental","Boat Rental"," ",0," "," ","notTranslated",""," ",0," "," "," ","operator"," "," ","amenity=boat_rental"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/bureau_de_change","amenity","bureau_de_change"," ","Currency Exchange","Currency Exchange"," ",0," "," ","notTranslated","bureau de change,money changer"," ",0," ","bank"," ","operator"," "," ","amenity=bureau_de_change"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/bus_station","amenity","bus_station"," ","Bus Station","Bus Station"," ",0," "," ","notTranslated",""," ",0," ","bus"," ","building_area,operator"," "," ","amenity=bus_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/cafe","amenity","cafe"," ","Cafe","Cafe","咖啡",2," "," "," ","coffee,tea"," ",0," ","cafe"," ","cuisine,internet_access,address,building_area,opening_hours,smoking"," "," ","amenity=cafe"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/car_rental","amenity","car_rental"," ","Car Rental","Car Rental"," ",0," "," ","notTranslated",""," ",0," ","car"," ","operator"," "," ","amenity=car_rental"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/car_sharing","amenity","car_sharing"," ","Car Sharing","Car Sharing"," ",0," "," ","notTranslated",""," ",0," ","car"," ","operator,capacity"," "," ","amenity=car_sharing"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/car_wash","amenity","car_wash"," ","Car Wash","Car Wash","洗车",2," "," "," ",""," ",0," ","car"," ","address,building_area,opening_hours"," "," ","amenity=car_wash"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/charging_station","amenity","charging_station"," ","Charging Station","Charging Station"," ",0," "," ","notTranslated","EV,Electric Vehicle,Supercharger"," ",0," ","car"," ","operator"," "," ","amenity=charging_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/childcare","amenity","childcare"," ","Nursery/Childcare","Nursery/Childcare"," ",0," "," ","notTranslated","daycare,orphanage,playgroup"," ",0," ","school"," ","operator,address,building_area,opening_hours"," "," ","amenity=childcare"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/cinema","amenity","cinema"," ","Cinema","Cinema","电影院",3," "," "," ","drive-in,film,flick,movie,theater,picture,show,screen"," ",0," ","cinema"," ","address,building_area,opening_hours"," "," ","amenity=cinema"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
