"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"Administrativní hranice","Administrative Boundary","boundary/administrative"," "," ","boundary=administrative"," "," "," "," "," ","line"," "," "," "
"Administrativní hranice","Administrative Boundary","type/boundary/administrative"," ","boundary","type=boundary","boundary=administrative"," "," "," "," "," "," "," ","relation"
"Přechod typu zebra","Crosswalk","footway/crosswalk"," "," ","highway=footway","footway=crossing","crossing=zebra"," "," "," ","line"," "," "," "
"Přechod typu zebra","Crosswalk","highway/crosswalk"," "," ","highway=crossing","crossing=zebra"," "," "," "," "," "," ","vertex"," "
"Řemeslník","Craft","craft"," ","marker-stroked","craft=*"," "," "," "," ","area"," ","point"," "," "
"Řemeslník","Handicraft","craft/handicraft"," ","art-gallery","craft=handicraft"," "," "," "," ","area"," ","point"," "," "
