"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"aeroway/helipad","aeroway","helipad"," ","Helipad","Helipad","Heliport",8," "," "," ","helicopter,helipad,heliport","vrtulník,helikoptéra,heliport",29," ","heliport"," "," "," "," ","aeroway=helipad"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"aeroway/runway","aeroway","runway"," ","Runway","Runway","Vzletová a přistávací dráha",27," "," "," ","landing strip","runway,přistávací dráha,vzletová dráha,přistávací plocha",56," "," "," ","ref,surface,length,width"," "," ","aeroway=runway"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area","line"," "," "," ","last"
"aeroway/taxiway","aeroway","taxiway"," ","Taxiway","Taxiway","Pojezdová dráha",15," "," "," ","","pojezdová dráha,taxiway,letiště",31," "," "," ","ref,surface"," "," ","aeroway=taxiway"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aeroway/terminal","aeroway","terminal"," ","Airport terminal","Airport terminal","Letištní terminál",17," "," "," ","airport,aerodrome","letiště,terminál",16," "," "," ","operator,building_area"," "," ","aeroway=terminal"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity","amenity"," "," ","Amenity","Amenity","Zařízení",8," "," "," ","","vybavenost,zařízení,služba",26," "," "," ","amenity",false," ","amenity=*"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/arts_centre","amenity","arts_centre"," ","Arts Center","Arts Center","Umělecké centrum",16," "," "," ","","umělecké centrum, kulturní centrum, kulturní dům, umělecké středisko",68," ","theatre"," ","address,building_area,opening_hours"," "," ","amenity=arts_centre"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/atm","amenity","atm"," ","ATM","ATM","Bankomat",8," "," "," ","money,cash,machine","bankomat,ATM,automat,banka,výběr",32," ","bank"," ","operator"," "," ","amenity=atm"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/bank","amenity","bank"," ","Bank","Bank","Banka",5," "," "," ","credit union,check,deposit,fund,investment,repository,reserve,safe,savings,stock,treasury,trust,vault","banka,spořitelna,kampelička,záložna,směnárna,bankomat,bank,depozit",66," ","bank"," ","atm,operator,address,building_area,opening_hours"," "," ","amenity=bank"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/bar","amenity","bar"," ","Bar","Bar","Bar",3," "," "," ","dive,beer,bier,booze","bar,klub,hospoda",16," ","bar"," ","operator,address,building_area,opening_hours,smoking"," "," ","amenity=bar"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/bbq","amenity","bbq"," ","Barbecue/Grill","Barbecue/Grill","Gril",4," "," "," ","bbq","gril,grilování,barbecue,bbq,opékání",35," "," "," ","covered,fuel"," "," ","amenity=bbq"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point"," "," ","last"
"amenity/bench","amenity","bench"," ","Bench","Bench","Lavička",7," "," "," ","","lavička,sezení",14," "," "," ","backrest"," "," ","amenity=bench"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line","point","vertex"," ","last"
"amenity/bicycle_parking","amenity","bicycle_parking"," ","Bicycle Parking","Bicycle Parking","Parkování kol",13," "," "," ","bike","stojan,kolo,stojan na kolo,parkoviště na kolo,cyklostojan",57," ","bicycle"," ","bicycle_parking,capacity,operator,covered,access_simple"," "," ","amenity=bicycle_parking"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/bicycle_rental","amenity","bicycle_rental"," ","Bicycle Rental","Bicycle Rental","Půjčovna kol",12," "," "," ","bike","půjčovna kol,cyklopůjčovna",26," ","bicycle"," ","capacity,network,operator"," "," ","amenity=bicycle_rental"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/bicycle_repair_station","amenity","bicycle_repair_station"," ","Bicycle Repair Station","Bicycle Repair Station","Montážní stojan na kola",23," "," "," ","bike","stojan,kolo,stojan na kolo,montážní stojan,opravna kol,cykloopravna,samoobslužná opravna kol",92," ","bicycle"," ","operator,brand,opening_hours,fee,service/bicycle/chaintool,service/bicycle/pump"," "," ","amenity=bicycle_repair_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/boat_rental","amenity","boat_rental"," ","Boat Rental","Boat Rental","Půjčovna lodí",13," "," "," ","","půjčovna lodí,půjčovna loděk,půjčovna člunů",43," "," "," ","operator"," "," ","amenity=boat_rental"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/bureau_de_change","amenity","bureau_de_change"," ","Currency Exchange","Currency Exchange","Směnárna",8," "," "," ","bureau de change,money changer","směnárna,směna peněz,výměna peněz,exchange,valuty,valuta",56," ","bank"," ","operator"," "," ","amenity=bureau_de_change"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/bus_station","amenity","bus_station"," ","Bus Station","Bus Station","Autobusové nádraží",18," "," "," ","","autobusové nádraží,autobusová stanice,autobusák,autobusové stanoviště,terminál",78," ","bus"," ","building_area,operator"," "," ","amenity=bus_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/cafe","amenity","cafe"," ","Cafe","Cafe","Kavárna",7," "," "," ","coffee,tea","káva,kafe,kavárna,čaj,čajovna",29," ","cafe"," ","cuisine,internet_access,address,building_area,opening_hours,smoking"," "," ","amenity=cafe"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/car_rental","amenity","car_rental"," ","Car Rental","Car Rental","Půjčovna aut",12," "," "," ","","půjčovna aut,autopůjčovna",25," ","car"," ","operator"," "," ","amenity=car_rental"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/car_sharing","amenity","car_sharing"," ","Car Sharing","Car Sharing","Sdílení aut",11," "," "," ","","sdílení aut,car sharing",23," ","car"," ","operator,capacity"," "," ","amenity=car_sharing"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/car_wash","amenity","car_wash"," ","Car Wash","Car Wash","Mytí aut",8," "," "," ","","myčka,automyčka,mytí,čistění,umývání,čistírna",45," ","car"," ","address,building_area,opening_hours"," "," ","amenity=car_wash"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/charging_station","amenity","charging_station"," ","Charging Station","Charging Station","Nabíjecí stanice",16," "," "," ","EV,Electric Vehicle,Supercharger","nabíjecí stanice,dobíjecí stanice,nabíječka,dobíječka,elektromobil",66," ","car"," ","operator"," "," ","amenity=charging_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/childcare","amenity","childcare"," ","Nursery/Childcare","Nursery/Childcare","Předškolní a mimoškolní péče",28," "," "," ","daycare,orphanage,playgroup","předškolní,mimoškolní,mateřská školka,školka,jesle,dětské jesle,dětská skupina,mateřské centrum,lesní školka,kroužek,zájmový kroužek,družina,zájmový oddíl",154," ","school"," ","operator,address,building_area,opening_hours"," "," ","amenity=childcare"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/cinema","amenity","cinema"," ","Cinema","Cinema","Kino",4," "," "," ","drive-in,film,flick,movie,theater,picture,show,screen","kino,film,cinema,multikino,bio,biograf,kinematograf",51," ","cinema"," ","address,building_area,opening_hours"," "," ","amenity=cinema"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/clinic","amenity","clinic"," ","Clinic","Clinic","Poliklinika",11," "," "," ","medical,urgentcare","poliklinika,klinika,nemocnice,ambulance,špitál",46," ","hospital"," ","address,building_area,opening_hours"," "," ","amenity=clinic"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/clock","amenity","clock"," ","Clock","Clock","Hodiny",6," "," "," ","","hodiny,orloj,hodinky,chronometr,ciferník,čas,ukazatel času",58," "," "," "," "," "," ","amenity=clock"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/college","amenity","college"," ","College Grounds","College Grounds","Prostor vyšší odborné školy/college",35," "," "," ","university","vyšší odborná škola,college,terciární vzdělávání,pomaturitní studium",68," ","college"," ","operator,address"," "," ","amenity=college"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/community_centre","amenity","community_centre"," ","Community Center","Community Center","Komunitní centrum",17," "," "," ","event,hall","komunitní centrum,kulturní centrum,sociální centrum,komunitní dům,dům dětí,dům mládeže,dům dětí a mládeže,klub",110," ","town-hall"," ","operator,address,building_area"," "," ","amenity=community_centre"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/compressed_air","amenity","compressed_air"," ","Compressed Air","Compressed Air","Vzduchová pumpa",15," "," "," ","","vzduchová pumpa,pumpa,pumpička,stlačený vzduch,kompresor,hustilka",65," ","car"," "," "," "," ","amenity=compressed_air"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/courthouse","amenity","courthouse"," ","Courthouse","Courthouse","Soud",4," "," "," ","","soud,soudní budova,soudní dvůr",30," ","town-hall"," ","operator,address,building_area"," "," ","amenity=courthouse"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/dentist","amenity","dentist"," ","Dentist","Dentist","Zubař",5," "," "," ","tooth,teeth","zubař,dentista,zubařská ordinace,ordinace",41," ","hospital"," ","address,building_area,opening_hours"," "," ","amenity=dentist"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/doctor","amenity","doctor"," ","Doctor","Doctor","Lékař",5," "," "," ","medic*","lékař,doktor,praktický lékař,ordinace,medik",43," ","hospital"," ","address,building_area,opening_hours"," "," ","amenity=doctors"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/dojo","amenity","dojo"," ","Dojo / Martial Arts Academy","Dojo / Martial Arts Academy","Škola bojových umění",20," "," "," ","martial arts,dojang","škola bojových umění,akademie bojových umění,bojové umění,bojová umění,dojo",75," ","pitch"," ","sport,address,building_area,opening_hours"," "," ","amenity=dojo"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
