"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"కాలువ","Canal","waterway/canal"," ","waterway-canal","waterway=canal"," "," "," "," "," ","line"," "," "," "
"కాలువ","Stream","waterway/stream"," ","waterway-stream","waterway=stream"," "," "," "," "," ","line"," "," "," "
